Sr. No.,Roman News Items,Label
716,tasver mai dikhaya gya hai keh russian foji ukrainei larki ky sath apni insani trophy ka jashan mana rahy hain,FAKE
717,corona virus vaccine ki wja sy ak haliya show ky doran ketty perry ki ankh band ho gai,FAKE
718,ukraine ky pas ak atomic bomb hai jo mikolaev mai bnaya gya hai,FAKE
719,colorado mai har voter ko ballot illegaly bhejy jaty hain,FAKE
720,Bill & Melinda Gates Foundation ny jabirana society ki traf tabdeli ky hissy ky tor par digital ids ky liye $200 million ka wada,FAKE
721,ak video mai dikhaya gya hai keh nuremberg 2.0 mai insaniyat ky khilaf crimes ka trail january 2023 sy shuru ho raha hai,FAKE
722,cherry beasley 2020 mai hamari riyasat aur pury mulk mai fasadaat ki hosla afzai kr rahy thy,FAKE
723,tulba ky qarz ki mafi manzur hogai mai ne usy ak ya do voton sy pas kraya aur yeh asar main hai,FAKE
724,video mai uganda mai chaata bardaron ko girty huwe dikhaya gya hai,FAKE
725,wikileaks ny registan nevada mai filmaye gaye moon landing cut manazir ko jari,FAKE
726,"nancy pelosi kharidi amgen ky 10,000 hissas nplate ky manufacturer taabkari ki bemari ky ilaj ky liye istemal hony wali dawa",FAKE
727,jab electric cars hadsaat ka shikar hoti hain to wo phaat jati hain lithium batteries ki waja sy wo boht buri trha sy agg pakarti hain,FAKE
728,environmental change ky experts ky liye un ki ak bhi prediction kabhi puri nhi hui,FAKE
729,khnaaq ki vaccine ak zehar ka dart hai jis ky zimni asraat khnaaq ki alamaat sy bhi badtar hain,FAKE
730,body builder corona virus vaccine sy maar gya,FAKE
731,cnn ki ak surkhi mai uganda ky sadar ko yeh kehty huwe dikhaya gya hai keh wo ukraine ki himayat nhi krty kyun keh yeh nagawar hoga,FAKE
732,tajvez krta hai keh ak immigrant jis pear ak bachy k sath jinsi zyadati ka ilzam lgya gya hai wo biden intezamiya ky doran ghair qanuni tor par america mai dakhil huwa,FAKE
733,mulk mai ghair qanuni tor par tarkeen e watan ky sath sabiq fojiyon sy behtr salooq kia jata hai,FAKE
734,Volodymyr Zelensky ny apny naam aur swastika ky sath ak football jersey pakry huwe tasver khinchwai thi,FAKE
735,colloidal silver ky liye ap ko neela krna namumkin hai,FAKE
736,International Monetary Fund ky rukan mumalik ky lakhon logon ko corona virus camps mai rakhy jany ka khatra hai,FAKE
737,2017 ky los vegas mai bary pemany par shooting krny waly 2 shooter thy,FAKE
738,hattey ky singer mikaben ka inteqal corona virus vaccine ki wja sy huwa,FAKE
739,19 october ko donald trump ny tweet ap ka shukriya elon musk mai wapis agya hun,FAKE
740,video mai dikhaya gya hai keh california apny hi jungle mai agg lgata hai aur inhen climate change ky impacts k tor par dikhata hai,FAKE
741,ak antivaccine karkun ny us ky qatal sy ak din pehly us ky khilaf istemal hony waly darany dhamkany waly hathkandun ki dastaveez ki,FAKE
742,video mai dikhaya gya hai keh doctor anthoney fauci yeh tasleem krty huwe keh wo wabai amraaz ky doran ghair zarori tor par mask lgany par americans ko nakam bna,FAKE
743,california vote dalny ky liye ghair shehriyon ko registered kr raha hai aur is ny fedral election integrity program ky sath taawun krny sy inkar kr dia hai,FAKE
744,Fentanyl tajves krta hai Derek Chauvin ny nahi George Floyd ko mara,FAKE
745,kamala harris ny kaha hamen tasleem krna  hoga keh gas zyada hai jo kam ky baraks hai,FAKE
746,denmark mai 50 saal sy kam umer logon mai ab covid vaccine mamnu hai,FAKE
747,january 2021 ko chik schumer aur nancy pelosi ko chupty huwe video footage mai dikhaya gya hai keh us 6 capital hamla ak setup tha,FAKE
748,corona virus vaccines aur 50 saal sy kam umer ky baligon mai cancer mai izafy ky darmiyan ak itefaqi taluq hai,FAKE
749,"kid rock ny post Zelensky ny abhi apny walideain ko 8,000,000 dollar ka villa kharida hai jis mai namkeen pani ky talaab aur 3 brand new cars hain",FAKE
750,steel ky hukaam silsilawar qatal ky silsily ki tehqiqat kr rahy hain,FAKE
751,Mistros de Defensa de OTAN ka faisla prevenir ataque de Putin ny hamla awar ko russia ky liye,FAKE
752,electronic registeration information center ak esa nizam hai jisy george soros ny mali aaanat faraham ki hai,FAKE
753,agar kachy poultry ka mohr band bag puffy nazar ata hai to is ka matlab hai keh protien istemal krny ky liye mehfuz nhi hai,FAKE
754,video mai venezuela mai goliyan chalti dikhai dy rahi hain,FAKE
755,trump police k hathon apny bister sy utha,FAKE
756,pfizer exectutive ny etraf vaccine ka transmission rokny ky liye kabhi tajurba nhi gya,FAKE
757,kabal az waqt paida hony waly bachon ko hifazati tikon sy chot lgny ka khatra mukamal mudaat ky bachon ky mukably mai boht zyada hota hai,FAKE
758,ye clip darasal ak video game sy computer ky zariye tayar krda tasveron ko dikhata hai,FAKE
759,ye clip ukraine mai russian missiles ko nhi dikhata hai ye ak video game sy lia gya hai,FAKE
760,ye malala yousfzai ki pakistani cricket player faisal iqbal ky sath tasveer hai,FAKE
761,ye video 2017 ka mazahiya khaka hai jis mai ak actor ny oval office ky set par tor phor ki,FAKE
762,rajasthan mai nurses ny kam salary ky sabab dia tha resign jumatiyon ky naam sy viral kia ja post farz,FAKE
763,rajev gandhi ky hath mai digital camera nhi balky vhs camcard hai,FAKE
764,rafael mamla mai narindra modi par case darj hony ki khabar jhuti hai,FAKE
765,rahul gandhi sy milany ky liye mazduron ko laye jany ka dawa farzi mulaqat ky baad gariyon sy ghar pohanchaye gaye mazdur,FAKE
766,tayyip erdoğan ki nato ijlas mai sadar joe biden sy hui mulaqat ki tasver ko kia ja raha galt dawa ky sath viral,FAKE
767,world health organization ky naam sy viral ho raha job alert farzi hai,FAKE
768,imran khan aur kalbhushan yadev ki ye tasweer edited hai farzi dawa ho raha social media par viral,FAKE
769,glaciers ka mutaliya gumrahkun tareeqy sy samundar ki sateh mai izafy ky khatry ko kaam krny ky liye kia jata hai,FAKE
770,afghan sadar ky ak clip mai ak photographer ko shamil krny ky liye is video ko edit kia gya hai,FAKE
771,pakistan mai do shadiyon ky laazmi qanon ky bary mai tanziya dawa dobara samny aya hai,FAKE
772,hamas ky jangju ky bary mai malaysia ky purny akhbaar ky safah awal par gumrahkun posts share ki gain,FAKE
773,taiwan ky siyasatdan ny taiwan ko tabah krny ky mansuby ky bary mai american radio maizban ky tanziya tweet ko jhuta share kia,FAKE
774,ghair qanoni srilanka ki chandni ki tanziya tasaweer ko facebook par haqeeqi products ky tor par galt tareeqy sy paish kia gya,FAKE
775,george w bush ko phone ky galt siry par baat krty huwe tasveer khenchi gai,FAKE
776,corona virus vaccine ny jj watt ki atrial fibrillation,FAKE
777,2018 ky interview sy pta chalta hai keh bill gates ny clean energy par apni position badal li hai,FAKE
778,video mai rand paul ko nancy pelosi sy kehty huwe dikhaya gya hai keh wo ak ghadar hai,FAKE
779,1956 ki ak video ny corona virus ky bary mai khabardar tha,FAKE
780,samundri tufan ky aghaz ky doran florida ky school ab bhi khuly thy,FAKE
781,joe biden ny jill biden ky bary mai kaha wo 12 saal ki thi mai 30 saal ka tha,FAKE
782,kamala harris ny samundri tufan ian ky bary mai kaha keh agar ap ki jild ka rung mukhtalif hai to ap ko tezi sy rahat mily gi,FAKE
783,"ak Stockton, California council ky rukan ny kaha keh stockton mai ak serial killer hai",FAKE
784,ohio mai deyohekal insani Caucasian kankal mojud hain jo kisi bhi maruf tehzeeb sy pehly hain,FAKE
785,cdc ka kehna hai keh 60% americans mai parjevi hain,FAKE
786,sadar joe biden ny ak nabalig k sath namunassib taluqat ka iteraf,FAKE
787,russian army ny donetsk mai hathyar daal diye hain,FAKE
788,america mai ab ak hukumat hai jo sarhadi agents ko muhlik taqat ky istemal sy mana krti hai lekin 1RS agents ko qanon ki pasdari krny waly shehriyon par SWAT team ki hikmat e amli istemal krny ki tarbeyat dy rahi hai,FAKE
789,ron johnson ny qanoon nafiz krny waly idaaron ky liye funding ky khilaf vote dia hai aur hal hi mai naye afsaran ki bharti aur tarbeyat ky mansuby ki mukhalfat ki hai,FAKE
790,iran mai haliya muzahiron ky doran halak hony ky baad baap ny apni beti ki qabar par raqs,FAKE
791,north korea ny ukraine jung ky liye ak lakh sy zyada foji russia bhejy,FAKE
792,San Rafael Warnock ny biden ky sath medicare ky expences mai kami ky liye vote dia,FAKE
793,samundri tufan ka haqeeqi mani ya her-ricane us african aurat ki rooh hai jisy chori gya hai,FAKE
794,vladimir putin jung sy bhag rahy hain,FAKE
795,pelosi ka penal penal trump ko giraftar krny ky liye tayar hai,FAKE
796,footage NASA ny DART khalai jahaz sy apny ap ko ak asteroid sy takra jany sy pehly share tha haqeeqi nhi hai,FAKE
797,BLA ki baghawat ky darmiyan china ky sadar shi ghar mai nazarband,FAKE
798,video mai dikhaya gya hai keh 2022 ky qomi intekhabat ky baad italians ny european union ka jhanda utar kr us ki jgha italian parcham lga dia,FAKE
799,jesy hi samundri toofan ian qareeb aya sadar joe biden ny kaha samundri tufan ky mosam ki tayari ka ak aham hissa abhi vaccine lgana hai,FAKE
800,ak news anchor ny khabardar keh agar samundri tofan ian magrib ki traf 20 mile agy barhta hai ap aur ap ki janany waly sabhi mar jayen gy,FAKE
801,britain mai charles ny fori tori par william ko takht sonp dia,FAKE
802,joe biden ny elton john ko aids ka zimedar thehraya,FAKE
803,ratan tata ny nhi dia mukesh ambani ko ly kr yeh bayan farzi post hui viral,FAKE
804,rickshaw driver ki beti nhi hain ye khatoon inspector emotional story fake hai,FAKE
805,rohingya refugees ky naam sy viral kia ja raha dawa aur tasaver dono hi farzi hain,FAKE
806,russia ky nafsiyati clinic ki nhi balky ak show sy li gai yeh viral tasver,FAKE
807,ronaldo ny ki thi dubai aur wahan ky logon ki tareef islam sy jor kr farzi dawa viral,FAKE
808,rohingya refugees ki purani picture fake claim ky sath hui viral,FAKE
809,diamonds sy dhaky emirates ky airplane ki pictures pakistani artist ny digital tor par bnanai hain,FAKE
810,gaza mai naya saal ky din ki hartaal purani afp tasver ky sath gumrahkun hai,FAKE
811,zakhmi bachi ki yeh tasver haal mai kabul airport par huwe hamla ky baad ki nhi balky 2011 ki hai,FAKE
812,former prime minister manmohan singh ki fake picture galat claim ky sath ho rahi viral,FAKE
813,saal 2019 mai mamta banerjee sy milny gaye shahrukh khan ki tasver ko kia ja raha current elections results sy jor kr viral,FAKE
814,martha ky vineyard ny apny island sy har akhri illegal immegrant ko mulkbadar krny ky liye army ka istemal,FAKE
815,nostradamus ny queen elizabeth ii ky inteqal ki durust paishan goi ki thi,FAKE
816,nancy pelosi yerevan mai Tsitsernakaberd Armenian Genocide Memorial Complex mai taqreban hans parin,FAKE
817,tasweer mai queen elizabeth aur prince charles ethopia ky king hail selassie I ky samny jhukty huwe dikhaty hain,FAKE
818,supreme court ny abhi condom par pabandi lgany ka vote dia hai,FAKE
819,tamam banks ko jald hi tamam coins federal government ky hawaly krny hongy is sy pehly keh wo sirf electronic lain dyn ka istemal kren,FAKE
820,ak royal guard member corona virus vaccine ki waja sy gir gya,FAKE
821,tasweer mai queen elizabeth ii car oil check kr rahi hain,FAKE
822,trump ky wukla ny ak hi waqt mai is par chor dia,FAKE
823,ohio SNAP fawaid ky liye qualify krny ky liye ab 3 afrad ka khandan ak mah mai $3660 tak kama skta hai aur yeh $2700 huwa krta tha isliye yeh taqreeban $1000 mahana barh gya hai,FAKE
824,9/11 par cnn ki ak report sy sabit keh airplane pentagon sy kabhi nhi takraya,FAKE
825,FBI ny tasdeeq ki keh ashley biden ny kaha keh us ky walid ny us ky sath badtamizi ki,FAKE
826,"pop, xi aur putin sabhi world events ki planing ky liye milty hain",FAKE
827,"illinois ky naye qanon ky tehat yeh jaraim naqabil e giraftar hain: chori, daketi, atish zani, ighwah, DUI cimes, yahan tak keh DUI jis mai halakat zyada tar manshiyat ky crimes aur yahan tak keh dusry darjy ka qatal bhi shamil hai",FAKE
828,trump ky ilawa sab ko shahi janazy mai madu gya,FAKE
829,tasvir sy pta chalta hai keh queen elizabethii ek luciferin thin,FAKE
830,nancy pelosi congress sy mustafi hony wali hain kyun keh trump ny us ky khilaf moakhzy ka muqadma dair hai,FAKE
831,donald trump ny kaha keh mai ny kabhi kisi ko nhi btaya lekin us ny mujhe niji tor par night,FAKE
832,"grand rapids, michigan mai 2020 mai hony waly muzahiron ky baad Democratic U.S. House candidate Hillary Hillary Schulten ny tabahi ko mustrid aur fasadiyon ki tareef ki",FAKE
833,joe biden ny white house mai ak shetan parast muqarar,FAKE
834,joe biden ny pop francis ko america mai famous african american baseball player qarar dia,FAKE
835,9/11 ky bary mai kehta hai 2 tyary khali waqt mai teen amarton ko girany ka sabab nhi bn skty,FAKE
836,tasvir mai dikhaya gya hai keh queen elizabeth ii ny barak obama ki traf sy dia huwa brooch pehn kr donald trump sy mulaqat ki,FAKE
837,taswir mai dikhaya gya hai keh queen elizabeth ii ko african reporter ak darya ky paar ly jary hain,FAKE
838,bbc ky ak radio station ny queen elizabeth ii ky inteqal ky elan ky baad raqs e moseeqi dobarah shuru kr dia,FAKE
839,video mai queen elizabeth ii africans ko chickens ki trha khana khilaty huwe dikhaya gya hai,FAKE
840,fedral government ehal ghar malikan ko muft solar panel ki tanseeb aur $8500 ky maraati check faraham kr rahi hai,FAKE
841,astronaut Karen Nyberg ny green screen ky samny jo qias tor par space sy ak video tha ko filmaya,FAKE
842,sadar joe biden ka kehna hai keh haal hi mai kaha gya hai keh Wisconsin ky 48.8 fisad voters democracy ky liye khatrah hain,FAKE
843,video mai dikhaya gya hai keh hillary clinton ek shetani rasam mai khaalai firqy ky rehnuma ka libas pehny huwe haun,FAKE
844,russia ny ukraine par apny hamly mai kuch nhi khoya,FAKE
845,video sy pta chalta hai keh joe biden ki haliya taqreer ky doran marines mojud nhi thy,FAKE
846,russian army ukraine sy nikal rahi hai september 2022 mai,FAKE
847,yahan nevada mai DMV sab ko register krta hai vote dalny ky liye aur iska matlab illegal hai wo check nhi krty,FAKE
848,executive order 14067 fedral government ko apny paisy ko on aur off krny ki ijazat dy ga,FAKE
849,malka elizabeth ka inteqal corona virus vaccine ki wja sy huwa,FAKE
850,america aur elon musk ny ukraine ki madad ky liye naye hypersonic jet ka inkeshaf,FAKE
851,sehat ki qomi idary corona virus ky amzur shuda ilaj ki fehrist mai ivermectin shamil krty hain,FAKE
852,wallmart intezamiya $2 mai $500 grocery cards ky sath barhti hui qeematon mai madad kr rahi hai,FAKE
853,bank of america ny pehli bar ghar khareedny walon ky liye ak new mortgage home loan program ka elan lekin sirf siyahfam aur spainish hi eligible hongy,FAKE
854,Mandela Barnes ka kehna hai keh sehat ki dekh bhal ko lakhon logon sy dur krny ki himayat krta hai,FAKE
855,pani sy chalny wali car 22 gallon par LA sy NY tak safar kr skti hai,FAKE
856,public health order title 42 hai hamary mulk mai aany waly illegal immegrants ky zabardast selab ko rokny ky liye border gasht ka akhri tola hai,FAKE
857,dastavezaat sy sabit hota hai keh white house pury FBI ko trump ko nishana bnany ky pichy hai biden ny jhut bola ,FAKE
858,IRS police ky logon ky liye 87000 naye agents ki khudmat hasil kr raha hai jo apny tulba ky qarzy maaf kr deny ky baad zyada fedral tax ada kren gy,FAKE
859,fox news ny qanuni jhut bolny ka haq talash,FAKE
860,UK Pfizer-BioNTech ab hamla khawateen ky liye mRNA corona virus vaccine ki sifarish nhi kr raha hai,FAKE
861,fedral election commission ky paas ak ghair wazeh fileing sy pta chalta hai keh biden ny bazabta tor par ak aur mudat ky liye apni boli ka ilan hai,FAKE
862,starbucks ny abhi ilan hai keh wo cash less ka rahy hain,FAKE
863,tulba ky qarz sy nijat internal revenue service ky zarye qabil  e tax hai,FAKE
864,instagram ky price location feature ko mujrim mutasireen ko nishana bnany ky liye istemal kr skty hain,FAKE
865,foji ko ghurti young lady ki ye tasweer palestine ki nhi balky 2016 ki chilli country ki hai,FAKE
866,fifa worldcup 2022 ki iftetahi taqreeb ki viral video digitally bnai gai hai,FAKE
867,qabailiyon ki zameen par namaz ky liye qabzy wali khabar fake hai,FAKE
868,quran ki ayaten parhaty huwe nazar araha shakhs nhi hai footballer christiano ronaldo ham shakal ka video farzi dawa ky sath viral,FAKE
869,quran ki tilawat wala yeh video fifa worldcup ka nhi hai 2021 ka video gumrahkun hawaly sy viral,FAKE
870,kajol ky bageshwar dham jany ko ly kr viral ho raha dawa farzi hai,FAKE
871,kata sar ly kr thany pohancha nujawan chennai ky naam par viral ho raha karnatak ka video,FAKE
872,kachry ky truck ka yeh video karnatak ka nhi balky turkiye ka hai,FAKE
873,karachi ky nuclear power plant mai dhamaka ka dawa farzi grid station mai lgi agg ka video viral,FAKE
874,cricket stadium mai qabil etraz harkat krta shakhs pakistani nhi hindustani hai,FAKE
875,cricketer irfan pathan ka viral video shaheen bagh ka nhi balky kolkata road show ka hai,FAKE
876,karnatak ki purani tasver ko lockdown ki waja sy ki gai khudkushi bta kr kia ja raha viral,FAKE
877,kashmir ky zakhmi bachy ky naam sy viral hui tasver lebonon ki ashura ky roz ki hai,FAKE
878,lalu yadev ka purana photo fake claim ky sath viral ho raha hai,FAKE
879,lebonon ky yom e ashura ky matam ki tasveer kashmir ky naam sy hui viral,FAKE
880,madhya pradesh mai evm pakry jany ki khabar farzi sabit hui,FAKE
881,morocco ka 2015 ki video hijab mutanaziya ky baad huwa hindustan ka btaty huwe viral,FAKE
882,congress ny sirf apny zati maliyaat ky IRS auditing sy khud ko mustasna qarar deny ky liye vote dia,FAKE
883,video ka dawa hai keh google street view antarctica ko sabz podon aur eynton ki amarat ky sath dikhata hai,FAKE
884,muft health allowance baghair kisi qeemat ky dastiyab hai,FAKE
885,1957 sy pehly paida hony waly logon ko apny social security check mai $1728 ka izafa ja raha hai,FAKE
886,american climate states ka 96% kharab hai,FAKE
887,afrat e zar mai kami ky qanon ny 65 saal sy kam umar ky americans ky liye muft health insurance ko barha dia,FAKE
888,corona virus vaccine sehat ky masail ky liye zimedar hain jo haliya khabron mai numayan hain,FAKE
889,Tulsi Gabbard Venmos Nancy Pelosi $600.01 IRS ko pelosi ky maliyat ka audit krny pe majbur kar rahi hai,FAKE
890,video mai steve bannon ko roty huwe dikhaya gya hai trump jail jany wala hai,FAKE
891,tasvir ak IRS agent ki tarbeyati class dikhati hai,FAKE
892,amazon ak promotion chala raha hai aur sirf $1 mai betarteeb package dy raha hai,FAKE
893,video mai Mitch McConnell ko dikhaya gya hai keh nancy pelosi ko jail mai daal dia jana chahiye,FAKE
894,video mai ted cruze us waqt bharak uthy jab FBI ky director ny Mar-a-Lago chapy par biden ka difa krny ki koshish ki,FAKE
895,video mai dikhaya gya hai keh ex president barak obama awam ko gumhrah krny ka tareeqa bta rahy hain,FAKE
896,leak hony waly paighamat sabiq sadar barak obama aur judge Reinhart ky darmiyan sabiq trump ki Mar-a-Lago state par illegal chapy ki paishgoi ki gai thi,FAKE
897,Congressional Budget Office ka kehna hai keh new IRS agents sy hasil hony wali aamdani ka 90% $200000 sy kam kamany waly logon sy aye ga aur paida hony wali amdani $300 sy zyada billion hogi,FAKE
898,new york shehar ky nalky ky pani mai polio hai,FAKE
899,numaindaye adam kinznger ny 2020 ky sadarti intekhabat mai trump ki jeet ki iteraf,FAKE
900,Anne Heche ko illuminati ny isliye qatal kr dia tha kyun keh wo jeffrey Epstein ky bary mai ak film par kam kr rahi thin,FAKE
901,writers ny itela di hai keh white house ky mulazim Andrew Bates ny ek haliya tweet mai nazi alamat ka istemal,FAKE
902,"corona virus vaccine ki wja sy ak ashton kutchers basarat, samaat aur chalny ki salahiyat sy mehrum hogai",FAKE
903,south carolina mai wallmart mai store ki khali shelfs gosht ki kami ki waja sy thin,FAKE
904,atlanta ky pani mai unhun ny monkey pox daal dia,FAKE
905,donald trump junior ny tweet jabkeh mery walid apny taqreeban tamam hamiyon sy pyar krty hain barahekaram sadar trump ki himayat ky liye mar-a-lago na layen hamary pas boht sy aham logo clip ky zarye aty hain aur isy saaf rakhny ki zarorat hai,FAKE
906,video mai dikhaya gya hai keh Ron DeSantis Sean Hannity ky sath behas kr rahy hain,FAKE
907,bill gates aur AOC cow car sy zyada alodgi kharij krti hai,FAKE
908,Brian Kemp khawateen ko isqaat e hamal ki tehqiqat aur saza dena chahta hai,FAKE
909,Boston Children's Hospital ab nujawan larkiyon ky liye jinsi tasdeeq krny waly hysterectomies paish kr raha hai,FAKE
910,humkumat IRS ko musalah kr rahi hai kyun keh joe biden tax barha raha hai aur americans ko ghair musalah kr raha hai,FAKE
911,ak tasver Ghislaine Maxwell aur bruce Reinhart ko dikhati hai,FAKE
912,pennsylvania ny 1823148 mail in ballot bhejy unhen 2589242 wapis mily,FAKE
913,california mai electric cars payedar nhi hain kyunkeh un ki sirf 10% batteries recycle hain riyast unhen recycle nhi kr skti,FAKE
914,Argent Chain Los Angeles and Baja California ky hamly ki tasdeeq krta hai prepararon 1000 tabahkun,FAKE
915,ex president donald trump ny 6 january 2021 ko capital ky irdgird fojen talab kin taky yeh yaqeeni bnaya ja sky keh har koi mehfuz hai lekin democrates ny issy mustrid kr dia,FAKE
916,video mai dikhaya gay hai keh clark county poll worker ghair qanuni tor par logon sy apny ballot ko drop box ky bahir ak bag mai rakhny ky liye keh kr kaam kr raha hai,FAKE
917,tasver mai electric cars dikhai deti hain jo france mai sarkari mulazmeen ky liye khareedi gai thin aur phir tarq kr di gain kyun keh batteries ko change krna boht expensive tha,FAKE
918,ted cruz ny hunter ky laptop sy hasil kardah nai datavez ko leak jis mai nancy pelosi ko shamil gya hai,FAKE
919,fori tor par china tyar hai united nation ky atomic weapons ky liye tayar hai new york Ann Alert Rosa,FAKE
920,tasweer 5 august 2022 ko Wisconsin mai trump ki rally mai bary paimany par hajum ko dikhati hai,FAKE
921,roe bamuqabla weed ko ulatna supreme court ki traf sy illegal iqdam tha,FAKE
922,azeem jheelon mai bull shark ki dastavez mojud hain,FAKE
923,senate democrates ka mafahmati bill medicare sy 300 billion dollar chen ly ga,FAKE
924,biden ghair qanuni shanakhti card dena chahta hai taky wo american advantage jama krna shuru kr sken,FAKE
925,tajvez krta hai hai keh jar ki nehren breast cancer sy linked hain,FAKE
926,$846.3 million mega millions jackpost jeetny par IRS ko mubarkbad,FAKE
927,CDC ny monkey pox ko herpes ki hawa sy paida hony wali shaqal ky tor par darjahbandi hai jo falij ka bais bn skta hai,FAKE
928,earpod basically ap ky brain ko microwave kr rahy hain,FAKE
929,kisi b trha sy shaqal ya shaqal mane hamal tak mehdud ya mehdud hony ka khatrah nhi hai,FAKE
930,nancy pelosi aur democrates hr 1808 ky sath raton raaton raat 150 million americans ko mujrimon mai tableel krna chahty hain,FAKE
931,artificial cyanide par based b12 ap ky bachon ky vitamins mai zehrila juz hai,FAKE
932,carbovegetables homeopathy medicine medical oxygen ka alternative nhi hoskti viral post gumrahkun hai,FAKE
933,pradhan mantri jin aushadi kendras par remdesivir injection dastiyab nhi hai viral post gumrahkun hai,FAKE
934,2016 ki in pictures mai mexico mai ak ustad ko apny ak talib ilm ky bachy ko uthaty huwe dikhaya gya hai,FAKE
935,fori gumrahkun post ka dawa krny waly chehry ky mask akely covid 19 ki bahali ko rokny mai madad kr skty hain,FAKE
936,meerut ky ilaqon ko naye covid tanao ky phelny ki janch ky liye seal kia gya viral video lakhnow ky tor par guzar gya,FAKE
937,post ka dawa krna keh yeh vaccine new born babies ko aluminium ki ghair mehfuz miqdaar injection deti hai gumrahkun hai,FAKE
938,bharat mai pakistani high commision ka school kam sharah e dakhla ky bais band huwa,FAKE
939,who ny remarks ki wazahat is ky baad keh is ny kaha keh ghair alamti logon sy corona virus ki munteqali boht nayab hai viral video purani aur gumrahkun hai,FAKE
940,who ky zariye mask ky istemal par purana screenshot haliya viral post gumrahkun hai,FAKE
941,video mai btaye gaye iqdamaat corona virus ka ilaj nhi hain balky quwat e mudafiyat barhany ky liye totky hain,FAKE
942,corona virus sy mutaliq viral graphics mai galt malumaat unicef ki traf sy jari nhi ki gai hain viral post gumrahkun hai,FAKE
943,gumrahkun post tajvez krti hai keh kala lehsan cancer ka ilaj krta hai mahireen e sehat ka kehna hai keh scientific proof naa kafi hain,FAKE
944,ucc ky bary mai gumrahkun dawy ky sath bjp viral ki himayat ky liye phone number shuru kia gya,FAKE
945,vitamin b17 ki kami ka dawa krny wali video cancer ka sabab banti hai grapes khany sy cancer thik ho jaye ga gumrahkun hai,FAKE
946,suraj ki roshni sy uv rays ka dawa krny wali post gumrahkun hai,FAKE
947,purani nissabi kitab mai covid 19 ky ilaj ka zikar nhi hai gumrahkun post viral ho rahi hai,FAKE
948,corona virus par ye viral paigham galt tor par unicef sy mansub hai,FAKE
949,kutty ki vaccine ka covid 19 sy koi taluq nhi gumrahkun post viral ho rahi hai,FAKE
950,fori 5 second ka asool khany ki hifzan e sehat ka ak afsana hai mahireen dobara samny any waly dawy ko mustarid krty hain,FAKE
951,viral post ak purani tasvir dikhati hai jis ka covid19 sy koi taluq nhi hai,FAKE
952,tonic water aur zinc covid 19 ko khatam krny ka dawa krny walu post gumrahkun hai,FAKE
953,hongkong mai phalon aur sabziyon ky zariye covid 19 muntaqil hony ka dawa krny wali post gumrahkun hai,FAKE
954,maweshiyon ki vaccine ka taluq covid 19 sy nhi gumrahkun post viral ho rahi hai,FAKE
955,clorox ko coronavirus ky bary mai pehly sy malum hony ka dawa krny wali post aur corona virus naya virus nhi hai gumrahkun hai,FAKE
956,mahwari ky doraan thanda pani khera pena cancer banjhpan ka sabab nhi bny ga gumrahkun post viral,FAKE
957,fori tasver par farzi post zehn ki kaifiyat ka taiyun krti hain,FAKE
958,kya wax lgy apple ka istemal ap ki jaan ly skta hai gumrahkun video viral ho rahy hai,FAKE
959,irani qatil ki phansi ki purani tasaver hakumat mukhalif muzahiron sy jhuti tor par munsalik hain,FAKE
960,post ye dawa krti hain keh makhi ky zehr ky ilaj sy infection thik hota hai gumrahkun hai,FAKE
961,haal hi mai polio sy bachao ky qatry pilaye gaye bachon ka dawa krny wali post sy virus phelta hai jis ki wja sy hfmd jali hai,FAKE
962,ye homeopathy medicine 48 hours mai dengue ka ilaj kr skti hai ak gumrahkun dawa,FAKE
963,nhi orange juice ky sath mila kr tartar ki cream apko tambaku noshi chorny mai madad nhi kry gi,FAKE
964,is karhi ky istemal sy diabetes thik hony ka dawa krny wali post gumrahkun hai,FAKE
965,falij ky shikar shakhs ki ungliyon par suiyan chubhna ya kaan kheenchna us ki jaan bacha skta hai ak gumrahkun post hai,FAKE
966,imran khan hamla case ki tehqiqat krnywali jit ky imran sy mutaliq gumrahkun dawy,FAKE
967,khawateen ki cricketer rashi kanojiaky tor par viral hony wali larki ki betarteeb tasver,FAKE
968,karnatak ky cm siddaramaiah ny footballers ki toheen nhi ki bjp hakumat ka purana video jhuty dawy ky sath viral,FAKE
969,haqaiq ki janch partaal rameez raja ki pakistani team ko dantny wali ye video purani hai aur uska taluq t20 worldcup mai zimbabwe aur pakistan ky match sy nhi hai,FAKE
970,cancer sy jaan ki bazi haarny waly cricketer david miller ky madaah ki tasver jali dawy ky sath viral,FAKE
971,agnipath scheme ky khilaf ehtejaj ka purana video gumrahkun dawy ky sath viral ho raha hai,FAKE
972,haiderabad train hadsy ka purana video odisha train hadsy ky naam sy viral ho raha hai,FAKE
973,yakam july sy railway ky 10 qawaid mai tabdeli ka dawa krny wala viral paigham gumrahkun hai,FAKE
974,zehni tor par bimar larki ny bhagwan raam ky posters par andy phenky viral dawa gumrahkun hai,FAKE
975,social media par shokat khanum hospital ky posters hatany ka dawa jhuta hai,FAKE
976,hindustan mai bni aur farokht ki jany wali tamam cadbury products vegeterian hain gumrahkun dawa viral ,FAKE
977,delhi gurdwary ka muft dialysis center kal nhi khul raha hai ye pehly sy kaam kr raha hai,FAKE
978,nepal ny tamam private hindustani news channels par pabndi lgany ka dawa krny wali viral post gumrahkun hai,FAKE
